text,classificacao
eu te amo mais do que tudinho nesse mundo daqui até urano infinitas vezes vc eh a melhor pessoa que já existiu na… https://t.co/ADmjdYp6E2,comportamental
aquela pedra devia ter esmagado ele inteirinho. kakashi devia ter tido pena e matado ele nessa hora pra acabar com… https://t.co/qf4JrhdkYR,comportamental
É que as vezes só da vontade de acabar com a própria existência.
E as vezes são 29 dias do mês essa vontade...,comportamental
@MARITZU0585 @GobiernoMX @senadomexicano O sea....matémonos unos a otros para poner fin a los problemas. Hay que ac… https://t.co/bTW4ESNpci,comportamental
pq quando é outros jogadores zoando e alguém critica as pessoas falam "diga não ao futebol moderno" ou "foi só um… https://t.co/cpWB1PvFSx,comportamental
Vontade de acabar com a sua existência  (você mesma(o) que tá lendo.),comportamental
RT @pvnkfairy: queria acabar com esse sentimento que fica explodindo dentro de mim de negar e odiar a minha existência e o que eu já fiz at…,comportamental
queria acabar com esse sentimento que fica explodindo dentro de mim de negar e odiar a minha existência e o que eu… https://t.co/VlxIWaRWEj,comportamental
Sabem por que o governo está destruindo as universidades? Porque elas criam os horizontes cognitivos para a existên… https://t.co/YLJaATwXnH,comportamental
Das 8 da manhã as 10:00 da noite na faculdade... é pra acabar com a minha existência.,comportamental
@kimbokjoosshi beloved???? eu sabia da existência tá auhsaushauhs mas olha um dia eu assisto só pra acabar esse cy… https://t.co/hoskzdq5C3,comportamental
Alguém poderia por favor acabar com a minha existência,comportamental
Yo cada que cae una gota del cielo y me fijo si es #Dorian que vino a acabar con mi existencia https://t.co/DmII33B0WN,comportamental
Pensando aqui como que em todos esses não sei quantos bilhões de anos a Terra nunca encontrou um unicozinho esterói… https://t.co/WhM3e7l0bK,comportamental
RT @FederacionFAC: La falta de regulación no solo alejan a muchos clubes del “consumo responsable” también podrían acabar con la existenci…,comportamental
@f1limx Ai filha é isso pô fé pra tudo que melhora. Focar pra acabar com a vida delas,comportamental
RT @eddskt: Mano incrível como algo pode ser tão poderoso tão robusto ter o poder de acabar com a vida de um homem e ao mesmo tempo ser…,comportamental
Mano incrível como algo pode ser tão poderoso tão robusto ter o poder de acabar com a vida de um homem e ao mesm… https://t.co/ADujHaDRFi,comportamental
RT @acoronado19: Mty mañana se va inundar el mundo se va a acabar me quiero dar de baja en la vida https://t.co/SstMQqbR94,comportamental
RT @acoronado19: Mty mañana se va inundar el mundo se va a acabar me quiero dar de baja en la vida https://t.co/SstMQqbR94,comportamental
Q medo dessa depressão acabar com a minha vida 😭😭😭😭,comportamental
RT @acoronado19: Mty mañana se va inundar el mundo se va a acabar me quiero dar de baja en la vida https://t.co/SstMQqbR94,comportamental
Mty mañana se va inundar el mundo se va a acabar me quiero dar de baja en la vida https://t.co/SstMQqbR94,comportamental
RT @Eternostys: "Podemos volvernos a enamorar todo este amor no se va a acabar; es más profundo que todo el mar y aunque a veces nos toqu…,comportamental
RT @Fernand04160986: As organizações Globo seguem a risca a receita de como acabar com a reputação de um veículo de comunicação! A delação…,comportamental
RT @humorcomtvd: 6- Aproveite os momentos pois eles podem acabar logo. Em TVD podemos ver bem que a vida é realmente curta até para os im…,comportamental
Essa guria conseguiu acabar com a minha vida,comportamental
ANNELIESE KEATING VOCÊ NÃO TEM LIMITESSSSSS VOCÊ VAI ACABAR COM A MINHA VIDA,comportamental
RT @deltapi84: Carteira digital 
Projeto piloto do PR JMB com o ministro educação promete acabar com a dependência que os estudantes têm c…,comportamental
É tão triste quando algo está prestes a acabar mas é só mais um ciclo. Essas coisas acontecem você se afasta e ap… https://t.co/BonJoBbL0b,comportamental
RT @bahlipe: ''ah mas se tu não mudar as pessoas vão se afastar de ti''

eu quero mais é q eles se fodam,comportamental
RT @bahlipe: ''ah mas se tu não mudar as pessoas vão se afastar de ti''

eu quero mais é q eles se fodam,comportamental
RT @bahlipe: ''ah mas se tu não mudar as pessoas vão se afastar de ti''

eu quero mais é q eles se fodam,comportamental
RT @bahlipe: ''ah mas se tu não mudar as pessoas vão se afastar de ti''

eu quero mais é q eles se fodam,comportamental
RT @bahlipe: ''ah mas se tu não mudar as pessoas vão se afastar de ti''

eu quero mais é q eles se fodam,comportamental
RT @GNandi1999: as vezes se afastar de pessoas dói porém é necessário pro nosso próprio bem,comportamental
RT @bahlipe: ''ah mas se tu não mudar as pessoas vão se afastar de ti''

eu quero mais é q eles se fodam,comportamental
RT @clararamoss1: Sinto necessidade de me afastar de algumas pessoas do nada que loucura parceiro...,comportamental
