text,classificacao
acabar com a existência,comportamental
acabar com a vida,comportamental
afastar de pessoas,comportamental
chega de existir,comportamental
chega de viver,comportamental
depreciado,comportamental
desdenhado,comportamental
desejar desaparecer,comportamental
desejar falarecer,comportamental
desejo desaparecer,comportamental
desejo falecer,comportamental
desmerecido,comportamental
desvalorizado,comportamental
dificuldade de sair de casa,comportamental
diminuido,comportamental
distanciar de pessoas,comportamental
evitar de sair,comportamental
evitar pessoas,comportamental
menosprezado,comportamental
não consigo sair de casa,comportamental
não desejo mais sair,comportamental
não desejo sair de casa,comportamental
não desejo ver pessoas,comportamental
não faz sentido existir,comportamental
não faz sentido viver,comportamental
nao quero existir,comportamental
não quero mais sair,comportamental
não quero sair de casa,comportamental
não quero ver pessoas,comportamental
não quero viver,comportamental
não sou capaz de sair de casa,comportamental
querer desaparecer,comportamental
querer falecer,comportamental
querer morrer,comportamental
quero desaparecer,comportamental
quero falecer,comportamental
quero morrer,comportamental
rebaixado,comportamental
sou um estorvo,comportamental
sou um fardo,comportamental
sou um incômodo,comportamental
sou um peso,comportamental
dificuldade de adormecer,fisiologico
dificuldade de cochilar,fisiologico
dificuldade de dormir,fisiologico
falta de apetite,fisiologico
falta de energia,fisiologico
falta de fome,fisiologico
não consigo comer,fisiologico
insônia não sinto sono,fisiologico
muito cansado,fisiologico
muito desgastado,fisiologico
muito esgotado,fisiologico
muito exausto,fisiologico
perda de apetite,fisiologico
perda de fome,fisiologico
sem apetite,fisiologico
sem energia,fisiologico
sem fome,fisiologico
sempre cansado,fisiologico
sempre desgastado,fisiologico
sempre esgotado,fisiologico
sempre exausto,fisiologico
abatido,psiquico
aborrecido,psiquico
a culpa é minha,psiquico
ânimo,psiquico
ânimo abalado,psiquico
ânimo arruinado,psiquico
ânimo comprometido,psiquico
ânimo debilitado,psiquico
ânimo destruido,psiquico
ânimo enfraquecido,psiquico
ânimo instável,psiquico
ausência de alegria,psiquico
ausência de ânimo,psiquico
ausência de desejo,psiquico
ausência de disposição,psiquico
ausência de felicidade,psiquico
ausência de humor,psiquico
ausência de prazer,psiquico
ausência de temperamento,psiquico
chateado,psiquico
culpado,psiquico
depressão,psiquico
depressivo,psiquico
deprimido,psiquico
desanimado,psiquico
desânimo,psiquico
desânimo sem motivo,psiquico
desgraça,psiquico
desimportante,psiquico
desinteressante,psiquico
desmotivado,psiquico
disposição abalada,psiquico
disposição arruinada,psiquico
disposição comprometida,psiquico
disposição debilitada,psiquico
disposição destruida,psiquico
disposição enfraquecida,psiquico
disposição instável,psiquico
estimulo,psiquico
estressado,psiquico
falta de alegria,psiquico
falta de ânimo,psiquico
falta de atenção,psiquico
falta de concentração,psiquico
falta de cuidado,psiquico
falta de dedicação,psiquico
falta de desejo,psiquico
falta de disposição,psiquico
falta de estimulo,psiquico
falta de graça,psiquico
falta de humor,psiquico
falta de importância,psiquico
falta de interesse,psiquico
falta de motivação,psiquico
falta de paciência,psiquico
falta de prazer,psiquico
falta de razão,psiquico
falta de sensibilidade,psiquico
falta de sentido,psiquico
falta de significado,psiquico
falta de temperamento,psiquico
falta de tolerância,psiquico
falta de vontade,psiquico
falta felicidade,psiquico
fracassado,psiquico
frustrado,psiquico
humor abalado,psiquico
humor abatido,psiquico
humor arruinado,psiquico
humor comprometido,psiquico
humor debilitado,psiquico
humor depressivo,psiquico
humor deprimido,psiquico
humor destruído,psiquico
humor enfraquecido,psiquico
humor instável,psiquico
humor melancólico,psiquico
incentivo,psiquico
indisposição,psiquico
inexistência de ânimo,psiquico
inexistência de disposição,psiquico
inexistência de humor,psiquico
inexistência de temperamento,psiquico
infelicidade,psiquico
infelicidade profunda,psiquico
infeliz,psiquico
infeliz sem motivo,psiquico
inútil,psiquico
melancólico,psiquico
me sinto culpada,psiquico
motivação,psiquico
nada tem razão pra mim,psiquico
nada tem sentido para mim,psiquico
nada tem significado pra mim,psiquico
não sinto alegria,psiquico
não sinto curiosidade por nada,psiquico
não sinto desejo,psiquico
não sinto disposição por nada,psiquico
não sinto felicidade,psiquico
não sinto humor,psiquico
não sinto interesse por nada,psiquico
não sinto nada,psiquico
não sinto prazer,psiquico
não sou importante,psiquico
não tenho desejo,psiquico
não tenho valor,psiquico
não tenho vontade,psiquico
pra baixo,psiquico
sem afeto,psiquico
sem alegria,psiquico
sem amor,psiquico
sem animação,psiquico
sem ânimo,psiquico
sem ânimo de fazer,psiquico
sem desejo,psiquico
sem desejo de fazer,psiquico
sem disposição,psiquico
sem emoção,psiquico
sem entusiasmo,psiquico
sem estimulo,psiquico
sem felicidade,psiquico
sem graça,psiquico
sem humor,psiquico
sem importância,psiquico
sem incentivo,psiquico
sem interesse,psiquico
sem motivação,psiquico
sem prazer,psiquico
sem razão,psiquico
sem satisfação,psiquico
sem sentido,psiquico
sem sentimento,psiquico
sem significado,psiquico
sem valor,psiquico
sem vontade,psiquico
sem vontade de fazer,psiquico
sentimento de culpa,psiquico
sentimento de tristeza,psiquico
sinto muita culpa,psiquico
só depressão,psiquico
só desânimo,psiquico
só infelicidade,psiquico
só tristeza,psiquico
temperamento abalado,psiquico
temperamento arruinado,psiquico
temperamento comprometido,psiquico
temperamento debilitado,psiquico
temperamento destruido,psiquico
temperamento enfraquecido,psiquico
temperamento instável,psiquico
triste,psiquico
triste sem motivo,psiquico
tristeza,psiquico
tristeza profunda,psiquico
