label,usuario
0,Usuário 1
0,Usuário 1
0,Usuário 1
3,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
3,Usuário 1
3,Usuário 1
0,Usuário 1
0,Usuário 1
3,Usuário 1
0,Usuário 1
3,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
3,Usuário 1
0,Usuário 1
3,Usuário 1
0,Usuário 1
3,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
1,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
3,Usuário 1
0,Usuário 1
3,Usuário 1
0,Usuário 1
3,Usuário 1
0,Usuário 1
3,Usuário 1
3,Usuário 1
3,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
1,Usuário 1
0,Usuário 1
0,Usuário 1
3,Usuário 1
1,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
3,Usuário 1
3,Usuário 1
3,Usuário 1
0,Usuário 1
0,Usuário 1
3,Usuário 1
3,Usuário 1
3,Usuário 1
3,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
2,Usuário 1
0,Usuário 1
3,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
1,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
3,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
3,Usuário 1
0,Usuário 1
0,Usuário 1
3,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
3,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
1,Usuário 1
3,Usuário 1
0,Usuário 1
3,Usuário 1
0,Usuário 1
0,Usuário 1
3,Usuário 1
0,Usuário 1
3,Usuário 1
0,Usuário 1
0,Usuário 1
3,Usuário 1
0,Usuário 1
1,Usuário 1
3,Usuário 1
0,Usuário 1
0,Usuário 1
3,Usuário 1
3,Usuário 1
0,Usuário 1
3,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
3,Usuário 1
0,Usuário 1
0,Usuário 1
3,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
3,Usuário 1
3,Usuário 1
3,Usuário 1
0,Usuário 1
3,Usuário 1
3,Usuário 1
3,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
3,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
3,Usuário 1
3,Usuário 1
3,Usuário 1
1,Usuário 1
3,Usuário 1
0,Usuário 1
3,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
3,Usuário 1
0,Usuário 1
1,Usuário 1
0,Usuário 1
3,Usuário 1
3,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
3,Usuário 1
3,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
3,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
3,Usuário 1
3,Usuário 1
2,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
1,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 1
0,Usuário 2
0,Usuário 2
0,Usuário 2
3,Usuário 2
0,Usuário 2
0,Usuário 2
0,Usuário 2
0,Usuário 2
0,Usuário 2
0,Usuário 2
0,Usuário 2
